שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
ביתר עילית,3780,BETAR ILLIT,7,76,,0.0,445.0,1.0,56746.0,56744.0,56726.0,2.0,1985,150,,2107362248.0,568.0,716.0,15000586.0,2018,Betar Illit,
בלפוריה,94,BALFURYA,2,23,234.0,9.0,,1.0,512.0,512.0,505.0,,1922,310,1.0,2280872620.0,70.0,254.0,10004394.0,2018,Balfurya,213.0
בן זכאי,760,BEN ZAKKAY,4,44,441.0,29.0,143.0,1.0,1115.0,1115.0,1094.0,,1950,310,2.0,1744464050.0,26.0,456.0,15002488.0,2018,Ben Zakkay,420.0
בן עמי,712,BEN AMMI,2,24,245.0,4.0,,1.0,775.0,773.0,749.0,2.0,1949,310,1.0,2119076783.0,15.0,201.0,10004302.0,2018,Ben Ammi,212.0
בן שמן (כפר נוער),1084,BEN SHEMEN(K.NO'AR),4,43,432.0,25.0,142.0,1.0,617.0,615.0,567.0,2.0,1921,340,,1932665185.0,61.0,424.0,10002261.0,2018,Ben Shemen(K.No'ar),
בן שמן (מושב),2013,BEN SHEMEN (MOSHAV),4,43,432.0,25.0,142.0,1.0,865.0,865.0,852.0,,1952,310,1.0,1928365110.0,55.0,424.0,10002261.0,2018,Ben Shemen (Moshav),
בני ברק,6100,BENE BERAQ,5,52,512.0,0.0,122.0,1.0,198863.0,198799.0,197439.0,64.0,1924,140,,1845566599.0,2.0,501.0,10001473.0,2018,Bene Beraq,
בני דקלים,1368,BNE DEQALIM,6,61,612.0,50.0,,1.0,1016.0,1016.0,1015.0,,2009,370,11.0,1924560284.0,359.0,634.0,10001813.0,2018,Bne Dkalim,
בני דרום,592,BENE DAROM,4,44,441.0,29.0,143.0,1.0,847.0,846.0,845.0,1.0,1949,320,2.0,1708963652.0,20.0,456.0,10001836.0,2018,Bene Darom,420.0
בני דרור,386,BENE DEROR,4,41,411.0,18.0,141.0,1.0,1221.0,1221.0,1213.0,,1946,320,1.0,1907168542.0,18.0,412.0,15000060.0,2018,Bene Deror,
בני יהודה,4015,BENE YEHUDA,2,29,294.0,71.0,,1.0,1070.0,1070.0,966.0,,1972,370,13.0,2648874494.0,327.0,219.0,10004579.0,2018,Bene Yehuda,211.0
בני נצרים,1363,BNE NETSARIM,6,62,622.0,38.0,,1.0,728.0,728.0,728.0,,2010,310,11.0,1346156141.0,90.0,651.0,10001893.0,2018,Bne Netsarim,620.0
בני עטרות,448,BENE ATAROT,4,42,422.0,25.0,142.0,1.0,975.0,975.0,969.0,,1948,310,1.0,1920265901.0,44.0,424.0,10002116.0,2018,Bene Atarot,
"בני עי""ש",1066,BENE AYISH,4,44,441.0,99.0,143.0,1.0,7017.0,6968.0,5640.0,49.0,1958,180,,1774163306.0,62.0,453.0,10001821.0,2018,Bene Ayish,420.0
בני ציון,418,BENE ZIYYON,4,41,411.0,19.0,141.0,1.0,1365.0,1360.0,1337.0,5.0,1947,310,10.0,1877968066.0,20.0,401.0,15000060.0,2018,Bene Ziyyon,
בני ראם,588,BENE RE'EM,4,44,441.0,31.0,143.0,1.0,1387.0,1374.0,1371.0,13.0,1949,310,8.0,1803363099.0,58.0,456.0,15002488.0,2018,Bene Re'em,420.0
בניה,685,BENAYA,4,44,441.0,28.0,143.0,1.0,808.0,808.0,807.0,,1949,310,1.0,1767263908.0,30.0,456.0,15002488.0,2018,Benaya,420.0
בנימינה-גבעת עדה*,9800,BINYAMINA-GIV'AT ADA,3,32,324.0,99.0,,1.0,15627.0,15598.0,15081.0,29.0,1903,170,,1967571417.0,10.0,353.0,10004333.0,2018,Binyamina-Giv'at Ada,
"בסמ""ה",1326,BASMA,3,32,323.0,99.0,,2.0,9779.0,3.0,,9776.0,,280,,2100771513.0,137.0,354.0,10004233.0,2018,Basma,
בסמת טבעון,944,BASMAT TAB'UN,2,23,237.0,99.0,242.0,2.0,7835.0,19.0,14.0,7816.0,,280,,2148073835.0,118.0,257.0,10004207.0,2018,Basmat Tab'un,
בענה,483,BI'NE,2,24,242.0,99.0,,2.0,8299.0,13.0,4.0,8286.0,,280,,2258875935.0,220.0,260.0,15002358.0,2018,Bi'ne,210.0
בצרה,389,BAZRA,4,41,411.0,19.0,141.0,1.0,1217.0,1217.0,1183.0,,1946,310,10.0,1886968001.0,20.0,401.0,15000060.0,2018,Bazra,
בצת,589,BEZET,2,24,245.0,4.0,,1.0,279.0,272.0,266.0,7.0,1949,310,1.0,2129677511.0,16.0,201.0,10004302.0,2018,Bezet,212.0
בקוע,864,BEQOA,1,11,112.0,26.0,,1.0,752.0,749.0,730.0,3.0,1951,310,1.0,1930663736.0,129.0,151.0,15000597.0,2018,Beqoa,
בקעות,3612,BEQA'OT,7,75,,75.0,,1.0,176.0,176.0,173.0,,1972,310,10.0,2428968327.0,40.0,712.0,10003262.0,2018,Beqa'ot,
"בקעת נטופה מ""א 56",1854,,2,24,241.0,56.0,,,,,,,,530,,2546075680.0,,,,2018,,210.0
"בקעת תירען מ""א 3",1884,,2,23,237.0,3.0,,,,,,,,530,,2334074370.0,,,,2018,,214.0
בר-לב,1728,,2,24,242.0,4.0,241.0,,,,,,,520,,2184675665.0,24.0,201.0,10004315.0,2018,,212.0
בר גיורא,823,BAR GIYYORA,1,11,111.0,26.0,444.0,1.0,672.0,669.0,660.0,3.0,1950,310,9.0,2069462636.0,663.0,151.0,15000597.0,2018,Bar Giyyora,
בר יוחאי,1191,BAR YOHAY,2,21,212.0,2.0,,1.0,1062.0,1062.0,1062.0,,1979,370,2.0,2422976699.0,700.0,209.0,10004528.0,2018,Bar Yohay,211.0
ברוכין,3744,BRUKHIN,7,73,,72.0,,1.0,1093.0,1093.0,1076.0,,2012,370,2.0,2086566533.0,336.0,710.0,10003262.0,2018,Brukhin,
ברור חיל,428,BEROR HAYIL,6,61,614.0,37.0,,1.0,986.0,978.0,957.0,8.0,1948,330,15.0,1665260743.0,59.0,651.0,10001829.0,2018,Beror Hayil,620.0
ברוש,2060,BEROSH,6,62,621.0,41.0,344.0,1.0,538.0,538.0,536.0,,1953,310,1.0,1650558666.0,112.0,625.0,10001893.0,2018,Berosh,620.0
ברכה,3710,BERAKHA,7,72,,72.0,,1.0,2620.0,2613.0,2215.0,7.0,1983,190,,2251867768.0,798.0,710.0,10003262.0,2018,Berakha,
